text,label
 맛과 건강 모두 잡는다  대한민국 대표 밥도둑  간장게장 ,Culture
즉석밥 햇반 매출  전기밥솥 쿠쿠 넘었다,Culture
이순신 전사의 슬픔 담긴 류성룡  달력  일본서 돌아와,Culture
        똑똑  어르신 우유 배달 왔어요  안부 묻고 고독사 막는다,Culture
이순신 최후 담겼다  절친 류성룡 달력 일본서 귀환,Culture
  리포트   이순신 최후 순간  담긴 류성룡 달력  일본서 돌아왔다,Culture
내일 오후부터 중부지방 중심 비 짧지만 요란히 내려,Culture
 수학 울렁증  내 자녀 손주를 위한 꿀 팁,Culture
현대차그룹    점유율     육박  높아진 위상에 전기차 공략 주효,Culture
살찐 줄만 알았는데  쿠싱병 이었다  어떤 질환이길래 ,Culture
 날씨  해 진 뒤 기온 뚝 다음주 비 소식 후 강추위,Culture
 집관족 에 치킨 잘 팔린다    월드컵 대목 에 매출 벌써 들썩,Culture
    진    월   일 입대  훈련소 오시면 안 돼요  당부,Culture
 내일날씨  중부 전북 비소식   도 이상 큰 일교차 주의 종합 ,Culture
월드컵 열기로 꺼지지 않는 밤  아라비안 나이트 로의 초대,Culture
 내일 날씨  일교차 최대   도  수도권  밤 사이    비,Culture
잇따라 발견되는 고려청자  어떻게 현대로 왔을까   클로저 ,Culture
 날씨  내일도 아침 낮 기온 변화 커 중서부 공기질  나쁨 ,Culture
수능 후  허탈 은      비관 은 상담 필요한 이유,Culture
 전설의 포니 쿠페  반세기만에 복원  손자 정의선의  정주영 헌정 프로젝트 ,Culture
 포착   대장  가벼이 하시면 안 됩니다  이순신  최후의 순간 에 무슨 일이,Culture
따뜻한 가을 뒤 갑자기 한겨울    다음주 비 온 뒤 아침 기온 영하로  뚝 ,Culture
                먹기 명상,Culture
코로나에 배달시켰을 뿐인데 고콜레스테롤혈증 증가  헬시타임 ,Culture
  년 전 풀어 준 붕어  빅사이즈로 금의환향  까꿍 ,Culture
       달리는 로켓  폭스바겐 골프    ,Culture
할아버지의  포니 쿠페   손자 정의선이 되살린다,Culture
반려동물과의 첫 이별이 버거운 이들에게,Culture
로또  등 당첨 한꺼번에  장  대박  나온 칠곡  이  포즈 덕분 ,Culture
계곡에 홀로 선 고사목  잎 떨군 나무보다 꼿꼿하다,Culture
 포니  만든 디자인 거장 주지아로가 떠올린 정주영  그는 천재 ,Culture
             좌변기 올바른 사용법,Culture
신라에서 온 도래인들  교토분지를 옥토로 바꾸다,Culture
 날씨  밤사이 서리 얼음 내일 중서부 한때 비,Culture
 마트에선 문제없는   상품  온라인만 규제해선 안돼 ,Culture
 책꽂이  천원짜리 상품 있어도  천원짜리 품질은 없다,Culture
 이 시간 에 머리 감기  탈모 예방에 도움,Culture
이순신의 마지막 담긴  대통력  일본서 환수,Culture
다음 주부터 진짜 겨울 추위 늦가을 이상 고온 끝,Culture
역사속 사라진 현대차  포니 쿠페  부활한다,Culture
카셰어링 렌터카 영업구역제한 완화   차 공유  새 시장 열릴까,Culture
 날씨  큰 일교차 계속 내일 밤 중부 한때  비 ,Culture
  온   시그넷   충전기 로   배터리 수명 잔존가치 진단한다,Culture
 최기성의 허브   모르면 수리비 폭탄  목숨까지 노린다,Culture
포니 디자이너 거장 조르제토 주지아로   포니 쿠페 콘셉트  복원한다,Culture
     년엔 국내 출생아   만 명에 전체 인구      만 명 불과 ,Culture
소금구이 붕어빵 먹어봤어  이렇게 먹으면 더 맛있대,Culture
 신차드라이브 마세라티  기블리 프라그먼트   특별함을 더하다,Culture
 오늘은 너로 선택했어  월드컵  집관족  노린 안주 봇물,Culture
방탄소년단 진    월   일 입대  아미  위험하니 훈련소 오지 마세요 ,Culture
 날씨  카타르 월드컵  응원 날씨는    맑고 쌀쌀  서울   ,Culture
과메기 제철이지만   이 병  있다면 먹지 말아야,Culture
    년 우리나라 인구수가 고작   초저출산 사회 의 미래,Culture
현대차  차 디자인 거장 주지아로와   년만에 쿠페형 포니 복원한다,Culture
 단독  세 집중 한 집이 이것 먹는 한국     년전  예언  통했다,Culture
임신 중 술 한 잔  태아 뇌  이렇게  바꾼다,Culture
 자막뉴스  혹독한 기상이변 덮친 한반도   올겨울 시작부터  공포 ,Culture
현대  포니 쿠페  콘셉트   년만에 다시 태어난다,Culture
    진  다음 달   일 최전방 신병교육대로 입대,Culture
현대차 전설의  포니 쿠페  돌아온다 주지아로 손잡고  원형 복원 ,Culture
 정주영  이탈리아 찾아와 디자인 부탁     거장이 밝힌  포니  뒷얘기,Culture
비만약은 짧게 쓰고 끝내야 한다   잘 비 바 ,Culture
 책  격정의 문장들,Culture
 대장  가벼이 하시면 안 됩니다    이순신 최후 순간 담긴 유성룡 달력,Culture
정주영이 초대한 디자인 거장   년 만에  포니 쿠페  부활 프로젝트 동행,Culture
 책꽂이 지배층 무지와 약탈 조선의  을 황폐화 시켰다,Culture
정부  현장 방문  접종 호소    목표 접종률은       ,Culture
성형외과 가기 전 이것만은 알아두세요,Culture
서울 아파트값 한주간          역대 최대 하락폭 경신,Culture
일본서 돌아온 류성룡의 달력 이순신  최후 순간  담아 종합 ,Culture
 수입 전기차  위  폴스타  스웨덴 현지서   만 번째 차량 탄생,Culture
포티투닷 자율주행 셔틀  서울 상암 이어 청계천 달린다,Culture
 날씨  큰 일교차 건강 유의 중서부 공기 탁해,Culture
추워지며 무릎 시큰거린다   어쩌면  지방 이 문제  헬시타임 ,Culture
 영업제한 얼마나 됐다고  쿠팡이츠 노조 파업에 자영업자들  긴장 ,Culture
청계천 일대 자율주행버스 요금 무료,Culture
정기건강검진 통한 예방 조기 발견 중요 여성 암  위  유방암 ,Culture
이번 주말 포근한 겨울날씨 다음주 비온 후   일부터  강추위 ,Culture
 날씨  한낮 선선  저녁 쌀쌀   밤부터 서쪽 공기 탁해,Culture
특별한 이유 없이 다리에 쥐가 자주 난다면  ,Culture
코로나발 비만 당뇨  작년에 조금 줄어  유행 이전 수준은 아직 ,Culture
화물 파업에 정부 맞불  업무개시명령 고려  거부땐 법적조치 ,Culture
  디자인 명장   포니 쿠페  복원한다,Culture
     맏형 진    월   일 전방 사단 신병교육대로 입대,Culture
십자인대 다쳤는데 지금은 괜찮다     도미노 연골손상  부를수도,Culture
 날씨  오늘 맑고 선선  큰 일교차   밤부터 서쪽 초미세먼지,Culture
       증상도 없이 뇌 망가뜨려    로 첫 확인 ,Culture
 약손   수면장애와 코골이  졸음의 습격  기면증,Culture
이순신 최후 순간 담은 류성룡의 달력 일본서 환수,Culture
약 없는 비알코올 지방간   형간염 치료제로 효과 연구 ,Culture
현대차 역사책 속  포니 쿠페     년 만에 환생한다,Culture
빙하 속 미생물 연   만  유출 얼어 있던 전염병도 눈 뜨나,Culture
첫사랑의 달콤한 입맞춤  모스카토 다스티의  그랑크뤼  카넬리의 탄생  최현태 기자의 와인홀릭 ,Culture
청계천  자율주행버스  달린다 내일부터 무료 운행,Culture
해외도 알아버렸다 해초의  가지 위엄,Culture
 정주영 정신 되짚는다    년 만에 빛 보게 된 현대차  포니 쿠페 ,Culture
마곡 잠실서울역  서울  대 마이스 거점으로,Culture
 대장  가벼이 하시면 안 됩니다    자에 담긴 충무공의 마지막,Culture
고양이 영양 공급에 대한 보호자들의 흔한  가지 오해,Culture
 그립습니다  최순자 씨의 큰 언니 고 최순남 씨,Culture
겨울엔 따뜻한 모과차로 근육 긴장을 풀어주자 한의사  건강꿀팁 ,Culture
임신 중에 술 조금만 마셔도 태아 뇌에  악영향 ,Culture
 날씨  낮 동안 선선한 늦가을   맑지만 서쪽 초미세먼지 ,Culture
구찌 전성기 이끈 미켈레 디렉터    년만에 떠난다,Culture
 공항에 코트 맡기고 가볍게 떠나세요  대한항공   코트룸 서비스  오픈,Culture
운전 중 브레이크 고장 났을 때 대처법은   살아남기 ,Culture
굳이 간식을 먹어야 한다면  항염증 간식 으로,Culture
문재인  좋은 불평등  추천  최저임금 실패 단정은 아쉽다 ,Culture
 브레이크 결함 의심  사고     측  운전자 과실     차주  스펀지 현상 탓 ,Culture
     날씨  오늘 차차 맑아져 기온의 일교차 커,Culture
커피의 시   테크   언제 마시지 ,Culture
복작한 청계천거리  자율주행버스 달린다,Culture
 관광 불모지  증평에서 만드는  벨포레의 기적 ,Culture
프리미엄 피자 지고   만 원대  피자 뜬다,Culture
 미세먼지  증상 없이 뇌 망가뜨려 노출 최소화해야 ,Culture
 날씨  차츰 맑아져  큰 일교차 주의 대기질도 무난,Culture
배추 무 저렴하게 판다   대형마트  김장재료 할인전,Culture
 날씨  아침 쌀쌀  낮 선선   차차 맑지만 미세먼지 ,Culture
잠깐만 걸어도 간단하게 활력 보충하는 방법  ,Culture
안상수 인천공항도 못한 해외미술관 인천 유치  유정복은 성공할까,Culture
서애 류성룡이 쓰던 달력  일본에서 환수  이순신 최후의 순간  담겨,Culture
토요일 낮부터 쌀쌀  다음주 화요일엔 본격적인 겨울 추위,Culture
 아침뉴스타임 날씨  오늘 차차 맑아져 기온의 일교차 커,Culture
북한  카타르 월드컵에  높은 관심  보이며 경기 방영    흔적 은 가려,Culture
땡볕 막은 운동장   해 품은 요양원  공간 쓰임  만큼 돋보인  마음 씀 ,Culture
이순신 최후 순간 적은  류성룡 비망록 달력  일본서 환수,Culture
 오늘의 스프  내년 여름에도 북극곰을 볼 수 있을까,Culture
류성룡이 쓰던 달력  일본서 돌아왔다  이순신 최후 순간  담겨,Culture
   년 전 여행자 따라 나선 길  보물을 만나다,Culture
 너무 따뜻한   월  비 내려도 포근한   월 다음 주부터  찬바람  분다,Culture
 현대차그룹  올해   점유율      최고의 한 해  될 것 ,Culture
 아미랑  암은  사연 으로 작동하는 병입니다,Culture
 저속주행 시 조향 어렵다  테슬라     대 리콜,Culture
 월드컵 연말 대목 놓칠까  화물연대 총파업에 유통업계 긴장,Culture
삼시 세끼가 좋아   간헐적 단식 조기 사망 위험 높여 연구 ,Culture
